Settings so far
Deviation share amplitude: 0.05
Mutation probability: 0.25
Borders:
x [ -2 ; 2 ]
y [ -2 ; 2 ]
+----+------------------------+------------------------+-----------------------+--------------------+---------------------+
| N  |           X            |           Y            |          FIT          |      MAX FIT       |       AVG FIT       |
+----+------------------------+------------------------+-----------------------+--------------------+---------------------+
| 0  |  -0.10492683550602777  |  -0.7207171008150848   |   0.5883444047331418  | 0.5883444047331418 | 0.17372638588945222 |
|    |   1.6166230510194919   |  -0.4365832762729367   |  0.06056276303091974  |                    |                     |
|    |   0.1913978595260004   |   1.7488024732920384   |   0.0452775827402741  |                    |                     |
|    |   1.9610427296170712   |   1.8410513033531815   | 0.0007207930534732011 |                    |                     |
|    |                        |                        |                       |                    |                     |
| 1  |  -0.10492683550602777  |  -0.4365832762729367   |   0.817409898709721   | 0.817409898709721  | 0.37156877319483855 |
|    |   0.1913978595260004   |  -0.7207171008150848   |   0.5734604656343656  |                    |                     |
|    |   1.5772663842914332   |  -0.7207171008150848   |  0.04942977090435384  |                    |                     |
|    |  -0.15470039337756042  |   1.7480635630674435   |  0.045974957530913775 |                    |                     |
|    |                        |                        |                       |                    |                     |
| 2  |   0.1913978595260004   |  -0.4365832762729367   |   0.7967310598302205  | 0.7967310598302205 |  0.5205911430166009 |
|    |  -0.10492683550602777  |  -0.6732218186954555   |   0.6286143929937753  |                    |                     |
|    |  -0.10492683550602777  |  -0.7207171008150848   |   0.5883444047331418  |                    |                     |
|    |   1.5772663842914332   |  -0.4365832762729367   |  0.06867471450926606  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 3  |  -0.10492683550602777  |  -0.4365832762729367   |   0.817409898709721   | 0.817409898709721  |  0.6797099042975263 |
|    |  -0.09605610048602257  |  -0.5708640976023083   |   0.7152575492747378  |                    |                     |
|    |   0.1913978595260004   |  -0.6732218186954555   |   0.6127117035712809  |                    |                     |
|    |   0.1913978595260004   |  -0.7207171008150848   |   0.5734604656343656  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 4  |  -0.08083138720749505  |  -0.5708640976023083   |   0.7171863777487373  | 0.7171863777487373 |  0.6814654608787483 |
|    |  -0.09605610048602257  |   -0.59350829220154    |   0.6966453178798265  |                    |                     |
|    |   0.1913978595260004   |  -0.5865311119149733   |   0.6834157548926537  |                    |                     |
|    |  -0.10492683550602777  |  -0.6732218186954555   |   0.6286143929937753  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 5  |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  | 0.8144592713714982 |  0.7195472209680966 |
|    |   0.1913978595260004   |  -0.5708640976023083   |   0.6959211198895754  |                    |                     |
|    |  -0.09605610048602257  |  -0.5949450510623261   |   0.695456796460807   |                    |                     |
|    |  -0.2301194749508406   |  -0.5865311119149733   |   0.672351696150506   |                    |                     |
|    |                        |                        |                       |                    |                     |
| 6  |  -0.09605610048602257  |  -0.44575457764031556  |   0.8122688334570674  | 0.8122688334570674 |  0.7373373625690647 |
|    |   0.1913978595260004   |  -0.44575457764031556  |   0.7903097797485998  |                    |                     |
|    |  -0.08083138720749505  |  -0.5708640976023083   |   0.7171863777487373  |                    |                     |
|    |  -0.08083138720749505  |  -0.6753973293112684   |   0.6295844593218544  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 7  |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  | 0.8144592713714982 |  0.7489325459225985 |
|    |  -0.09605610048602257  |  -0.44575457764031556  |   0.8122688334570674  |                    |                     |
|    |   0.1913978595260004   |  -0.43329953421391504  |   0.7990101523460499  |                    |                     |
|    |  -0.09605610048602257  |  -0.7435766993529833   |   0.5699919265157786  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 8  |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  | 0.8144592713714982 |  0.7434257325230716 |
|    |  -0.08083138720749505  |  -0.5144738613941534   |   0.7624509753307942  |                    |                     |
|    |   0.322911942960645    |  -0.44575457764031556  |   0.7386217965329923  |                    |                     |
|    |  -0.09605610048602257  |  -0.6395810351038552   |   0.6581708868570018  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 9  |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  | 0.8144592713714982 |  0.7825441984437741 |
|    |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  |                    |                     |
|    |  -0.0793125193992874   |  -0.5144738613941534   |   0.7626364544991077  |                    |                     |
|    |   0.322911942960645    |  -0.44575457764031556  |   0.7386217965329923  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 10 | -0.009971951845028568  |  -0.44575457764031556  |   0.8197166204157439  | 0.8197166204157439 |  0.8028210673901179 |
|    |  -0.0793125193992874   |  -0.44575457764031556  |   0.8146574024424351  |                    |                     |
|    |  -0.08083138720749505  |  -0.44575457764031556  |   0.8144592713714982  |                    |                     |
|    |  -0.08083138720749505  |  -0.5144738613941534   |   0.7624509753307942  |                    |                     |
|    |                        |                        |                       |                    |                     |
| 20 |  0.002799263510587055  |  -0.10073258920723993  |   0.9898964964053963  | 0.9898964964053963 |  0.982725954783091  |
|    |  0.002799263510587055  |  -0.10073258920723993  |   0.9898964964053963  |                    |                     |
|    |  0.13737045293981245   |  0.019936715579121765  |   0.9809163296126585  |                    |                     |
|    |  0.17280405922732223   |  0.019936715579121765  |   0.970194496708913   |                    |                     |
|    |                        |                        |                       |                    |                     |
| 30 | -0.003546145564672948  | -0.0012249011257243203 |   0.9999859245679261  | 0.9999859245679261 |  0.9948895756647477 |
